-,-,-
-11, -43, 953
-51, -36, 1043
-23, 2, 1034
-45, 16, 1048
-45, 16, 1048
17, 6, 1071
91, 31, 1013
83, 15, 963
-32, 45, 956
-32, 45, 956
60, 28, 1178
153, 12, 1344
20, 42, 1428
20, 42, 1428
-115, 158, 1484
-258, 272, 1602
-394, 341, 1913
-356, 354, 1998
-307, 378, 1998
-178, 364, 1879
-64, 321, 1766
-15, 373, 1824
55, 467, 1562
55, 467, 1562
202, 477, 1286
259, 526, 1136
185, 633, 808
179, 697, 503
192, 685, 128
181, 599, 77
181, 599, 77
315, 582, 160
315, 581, 13
280, 582, -351
415, 493, -487
415, 493, -487
430, 482, -645
404, 437, -1210
415, 288, -1692
428, 79, -1959
375, -108, -1996
316, -303, -1993
416, -611, -1548
528, -834, -1768
580, -909, -1996
376, -789, -1996
247, -640, -1808
149, -504, -1603
116, -469, -1309
-45, -396, -1350
17, -303, -1448
104, -222, -1723
183, -125, -1914
300, -2, -1723
336, 13, -1120
-,-,-
20, -9, 1033
9, -19, 1041
43, -11, 1098
-5, -16, 1066
2, 5, 1042
2, 5, 1042
14, 124, 1213
-372, 214, 1998
-563, 308, 1998
-331, 488, 1998
-387, 589, 1927
-43, 471, 1799
-43, 471, 1799
271, 484, 1760
344, 640, 1495
305, 793, 1029
271, 851, 664
228, 827, 410
215, 787, 259
215, 787, 259
237, 703, 210
200, 653, 264
156, 668, 174
142, 708, 126
186, 781, -329
186, 781, -329
309, 654, -877
371, 522, -1161
356, 403, -1534
359, 239, -1757
330, 120, -1910
355, -29, -1973
556, -275, -1894
1295, -940, -1996
-158, -153, -1248
398, -494, -984
-201, -510, -543
-325, -432, -387
85, -429, -1007
207, -322, -1873
-,-,-
34, -1, 1019
34, -1, 1019
-1, -17, 1033
-6, -3, 1024
0, -7, 1021
0, -7, 1021
-1, -17, 1022
12, -21, 982
-53, 53, 957
-337, 279, 1010
-337, 279, 1010
-592, 403, 1972
-907, 573, 1998
-867, 716, 1998
-537, 675, 1998
-289, 591, 1969
62, 568, 1996
142, 675, 1684
157, 792, 1218
376, 802, 875
404, 805, 620
404, 805, 620
295, 793, 448
151, 817, 210
143, 771, -70
176, 651, -307
158, 553, -239
158, 553, -239
103, 554, -254
75, 552, -554
50, 489, -992
118, 403, -1177
116, 346, -1336
87, 242, -1588
196, 114, -1574
401, -64, -1796
467, -205, -1857
477, -351, -1815
443, -530, -1703
552, -748, -1991
426, -554, -1871
426, -554, -1871
250, -552, -1840
-22, -453, -1542
1, -405, -1114
16, -372, -1306
155, -269, -1699
279, -150, -1964
263, -5, -1874
285, 38, -1420
-,-,-
2, -23, 1030
21, -61, 1044
8, -18, 1059
70, -16, 1045
22, -6, 1025
22, -6, 1025
-40, 39, 1360
-116, 67, 1993
-320, 188, 1998
-357, 302, 1998
-319, 335, 1958
-247, 299, 1950
-46, 324, 1997
-46, 324, 1997
-39, 454, 1842
20, 576, 1593
125, 669, 1315
230, 705, 1161
206, 807, 982
210, 862, 637
244, 874, 432
244, 874, 432
247, 867, 252
235, 878, -12
256, 846, -188
266, 809, -424
226, 743, -864
226, 743, -864
240, 547, -1318
131, 369, -1591
123, 205, -1650
375, 27, -1611
564, -118, -1851
543, -195, -1992
458, -259, -1906
277, -305, -1886
110, -377, -1870
189, -495, -1993
127, -428, -1683
230, -456, -1449
187, -417, -1225
180, -374, -1195
186, -294, -1385
-,-,-
-12, -8, 1242
19, -27, 954
-83, 0, 954
-94, 10, 974
-94, 10, 974
6, 5, 1143
-52, 27, 1559
-200, 107, 1904
-200, 107, 1904
-466, 184, 1976
-435, 205, 1995
-216, 179, 1998
-60, 178, 1996
46, 239, 1808
119, 288, 1529
180, 333, 1181
252, 347, 1037
274, 400, 713
274, 400, 713
324, 377, 446
304, 379, 266
281, 369, 177
227, 406, 219
174, 480, -48
174, 480, -48
175, 493, -359
219, 416, -629
195, 356, -856
120, 285, -1064
32, 246, -1150
-78, 211, -1376
-1, 124, -1751
156, -13, -1687
207, -136, -1407
278, -233, -1443
362, -233, -1653
362, -309, -1653
411, -376, -1986
385, -446, -1996
284, -476, -1996
167, -408, -1942
99, -333, -1394
25, -299, -1015
18, -358, -767
80, -371, -992
219, -311, -1517
-,-,-
-208, 61, 1856
-311, 82, 1430
-227, 116, 1458
-6, 82, 1331
-6, 82, 1331
-122, 87, 1398
-129, 126, 1571
-126, 185, 1636
-101, 287, 1731
-21, 374, 1760
-34, 494, 1420
76, 529, 1107
76, 529, 1107
250, 502, 828
334, 468, 643
339, 475, 482
373, 495, 233
375, 547, -7
375, 547, -7
414, 556, -434
421, 538, -727
253, 495, -983
68, 476, -1078
-52, 479, -1350
1, 350, -1532
1, 350, -1532
34, 250, -1456
149, 130, -1524
308, 0, -1529
436, -94, -1531
411, -189, -1672
1397, -619, -1815
-464, -15, -1029
680, -482, -1402
-388, -192, -1498
-222, -207, -532
-126, -155, -1436
226, -125, -1974
-,-,-
123, 69, 1114
142, 63, 1537
-29, 161, 1689
-160, 293, 1794
-285, 376, 1938
-194, 376, 1929
-64, 352, 1958
-64, 352, 1958
-29, 322, 1998
157, 375, 1998
262, 456, 1814
346, 534, 1250
373, 471, 903
368, 435, 691
331, 427, 423
331, 427, 423
312, 393, 172
293, 349, -30
261, 281, -243
248, 223, -265
216, 224, -295
147, 224, -467
147, 257, -467
87, 289, -590
17, 326, -869
92, 289, -1079
111, 242, -1244
195, 159, -1547
242, 63, -1741
228, -37, -1798
235, -121, -1645
145, -193, -1599
212, -307, -1713
343, -395, -1986
409, -413, -1996
257, -352, -1875
257, -352, -1875
133, -288, -1389
43, -281, -1133
9, -302, -972
87, -277, -1313
222, -234, -1548
224, -159, -1646
203, -88, -1566
167, -45, -1422
113, -1, -1348
135, 38, -1304
-,-,-
4, 76, 1457
-72, 151, 1649
-72, 151, 1649
-241, 203, 1781
-374, 252, 1789
-357, 345, 1633
-337, 362, 1731
-230, 349, 1991
-149, 396, 1998
-134, 511, 1892
-44, 611, 1442
120, 617, 1058
180, 601, 820
216, 625, 624
216, 625, 624
304, 689, 432
283, 706, 20
253, 668, -163
248, 614, -295
322, 538, -288
322, 538, -288
277, 565, -191
105, 601, -697
77, 449, -1241
146, 326, -1398
255, 289, -1510
378, 234, -1824
523, 120, -1996
620, -4, -1995
544, -113, -1745
1254, -197, -1962
-92, -373, -723
343, -398, -1400
-329, -227, -1220
-212, -257, -789
-46, -225, -1425
258, -169, -1933
373, -85, -1996
400, -44, -1861
385, -24, -1539
385, -24, -1539
-,-,-
-51, -58, 1131
-248, 20, 902
-242, 43, 1315
-159, 15, 1955
-226, 73, 1965
-226, 73, 1965
-210, 105, 1725
-130, 75, 1828
-62, 131, 1997
55, 320, 1791
74, 435, 1209
158, 418, 635
254, 361, 439
254, 361, 439
264, 383, 343
256, 434, 145
333, 458, -43
307, 469, -229
188, 511, -206
188, 511, -206
64, 575, -530
61, 523, -884
39, 424, -1251
21, 294, -1512
-116, 174, -1654
-168, 49, -1636
40, -102, -1494
119, -247, -1488
201, -334, -1445
327, -365, -1351
422, -377, -1313
262, -319, -1626
229, -291, -1755
205, -225, -1980
-,-,-
349, 239, 784
473, 232, 490
601, 168, 17
599, 70, -422
599, 70, -422
551, -23, -580
364, -26, -390
220, 16, -513
123, 68, -693
15, 115, -770
-120, 151, -895
-120, 151, -895
-218, 172, -1005
-342, 189, -999
-379, 184, -1088
-321, 154, -900
-278, 152, -988
-96, 114, -1270
76, 76, -1585
74, 63, -1783
-11, 2, -1745
-35, -126, -1332
509, -311, -1930
121, -339, -1514
-144, -263, -1531
-317, -199, -823
-188, -204, -1087
73, -134, -1761
187, -64, -1932
123, -11, -1652
107, -51, -1257
107, -51, -1257
100, -101, -1110
165, -145, -1030
108, -151, -989
35, -138, -837
-8, -163, -673
-20, -189, -598
107, -217, -505
154, -253, -386
-15, -260, -384
-8, -283, -316
64, -311, -196
121, -332, -134
229, -356, 8
229, -356, 8
208, -366, 73
132, -340, 90
87, -271, 115
